name, artist, genre
The Look of Love - Remix,Jay Dee,Hip-Hop
In Baltimore,K-Mack,Hip-Hop
Fuck Wit Dre Day (And Everybody's Celebratin'),Dr. Dre,Hip-Hop
Rude Girlz - Bonus Track,Silouette,Hip-Hop
Uknowhowwedu,Bahamadia,Hip-Hop
Fall in Love,Slum Village,Hip-Hop
Whenimondamic,Lootpack,Hip-Hop
The Obvious Joint,Adagio!,Hip-Hop
I Get Around,2Pac,Hip-Hop
Swan Lake,Blackalicious,Hip-Hop
Leflaur Leflah Eshkoshka,Heltah Skeltah,Hip-Hop
Bitches Ain't Shit,Dr. Dre,Hip-Hop
Word Iz Life,Poor Righteous Teachers,Hip-Hop
Tonight's Da Night,Redman,Hip-Hop
Rebirth Of Slick (Cool Like Dat),Digable Planets,Hip-Hop
Luchini AKA This Is It,Camp Lo,Hip-Hop
Resurrection,Common,Hip-Hop
I Juswanna Chill,Large Professor,Hip-Hop
Find a Way,A Tribe Called Quest,Hip-Hop
93 'Til Infinity,Souls Of Mischief,Hip-Hop
Let Me Ride,Dr. Dre,Hip-Hop
Passin' Me By,The Pharcyde,Hip-Hop
You Never Knew,Hieroglyphics,Hip-Hop
Don't Stress Tomorrow,Finsta Bundy,Hip-Hop
Brooklyn's Finest,JAY-Z,Hip-Hop
1999,Various Artists,Hip-Hop
What U See Is What U Get,Xzibit,Hip-Hop
Young G's (feat. The Notorious B.I.G. & Jay-Z),Diddy,Hip-Hop
Off the Books (feat. Big Pun & Cuban Linx),Big Pun,Hip-Hop
Nuthin' But A "G" Thang,Dr. Dre,Hip-Hop
Body Rock,Various Artists,Hip-Hop
Full Clip,Gang Starr,Hip-Hop
Can't Knock The Hustle,JAY-Z,Hip-Hop
Nas Is Like,Nas,Hip-Hop
What They Do,The Roots,Hip-Hop
ATLiens,OutKast,Hip-Hop
Miami,Will Smith,Hip-Hop
Set Adrift on Memory Bliss (Re-Recorded),P.M. Dawn,Hip-Hop
Ms. Fat Booty,Mos Def,Hip-Hop
