URI,Genre
spotify:playlist:37i9dQZF1DX186v583rmzp,Hip-Hop
spotify:playlist:37i9dQZF1DX0XUsuxWHRQd,Hip-Hop
spotify:playlist:37i9dQZF1DWY4xHQp97fN6,Hip-Hop
spotify:playlist:37i9dQZF1DX2RxBh64BHjQ,Hip-Hop
spotify:playlist:37i9dQZF1DX6GwdWRQMQpq,Hip-Hop
spotify:playlist:37i9dQZF1DWT5MrZnPU1zD,Hip-Hop
spotify:playlist:37i9dQZF1DX7Mq3mO5SSDc,Hip-Hop
spotify:playlist:37i9dQZF1DX6xZZEgC9Ubl,Hip-Hop
spotify:playlist:37i9dQZF1DX6OgmB2fwLGd,Hip-Hop
spotify:playlist:37i9dQZF1DX2A29LI7xHn1,Hip-Hop
spotify:playlist:37i9dQZF1DXbYM3nMM0oPk,Pop
spotify:playlist:37i9dQZF1DWUa8ZRTfalHk,Pop
spotify:playlist:37i9dQZF1DX5gQonLbZD9s,Pop
spotify:playlist:37i9dQZF1DWTwnEm1IYyoj,Pop
spotify:playlist:37i9dQZF1DX0b1hHYQtJjp,Pop
spotify:playlist:37i9dQZF1DX0MLFaUdXnjA,Pop
spotify:playlist:37i9dQZF1DX4VvfRBFClxm,Pop
spotify:playlist:37i9dQZF1DX1lVhptIYRda,Country
spotify:playlist:37i9dQZF1DXcSzYlwgjiSi,Country
spotify:playlist:37i9dQZF1DX0bUGQdz5BJG,Country
spotify:playlist:37i9dQZF1DWYUfsq4hxHWP,Country
spotify:playlist:37i9dQZF1DWTkxQvqMy4WW,Country
spotify:playlist:37i9dQZF1DWYnwbYQ5HnZU,Country
spotify:playlist:37i9dQZF1DWVpjAJGB70vU,Country
spotify:playlist:37i9dQZF1DXbIbVYph0Zr5,Country
spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock
spotify:playlist:37i9dQZF1DX1rVvRgjX59F,Rock
spotify:playlist:37i9dQZF1DWYE5MI4mMuii,Rock
spotify:playlist:37i9dQZF1DWU3bkMPOyjie,Rock
spotify:playlist:37i9dQZF1DXcF6B6QPhFDv,Rock
spotify:playlist:37i9dQZF1DX3oM43CtKnRV,Rock
spotify:playlist:37i9dQZF1DX6xOPeSOGone,Rock
spotify:playlist:37i9dQZF1DWWJOmJ7nRx0C,Rock
spotify:playlist:37i9dQZF1DX4SBhb3fqCJd,R&B
spotify:playlist:37i9dQZF1DWYmmr74INQlb,R&B
spotify:playlist:37i9dQZF1DX6VDO8a6cQME,R&B
spotify:playlist:37i9dQZF1DX2UgsUIg75Vg,R&B
spotify:playlist:37i9dQZF1DX0H8hDpv38Ju,R&B
spotify:playlist:37i9dQZF1DWXnexX7CktaI,R&B
spotify:playlist:37i9dQZF1DX0QKpU3cGsyb,R&B
spotify:playlist:37i9dQZF1DX4ezQVslkJiT,R&B
spotify:playlist:37i9dQZF1DWVtgG63SDdt8,Christian
spotify:playlist:37i9dQZF1DWUMIjnZuaulx,Christian
spotify:playlist:37i9dQZF1DXcb6CQIjdqKy,Christian
spotify:playlist:37i9dQZF1DWVYgpMbMPJMz,Christian
spotify:playlist:37i9dQZF1DX5SzTPIoCKiv,Christian
spotify:playlist:37i9dQZF1DWWiL3lQqaMSQ,Christian
spotify:playlist:37i9dQZF1DWWiL3lQqaMSQ,Christian
spotify:playlist:37i9dQZF1DWTSWzScBKziy,Christian
spotify:playlist:37i9dQZF1DX7fPhUztqfIX,Christian

